"RecOrigin","RecFlags","RecVrsn","Manufacturer","Model","SysType","UnitType","ClgCap","HtgCap","PowerCode","Series","MixPipeId","VapPipeId","Height","Width","Depth","Weight","MaxPipeLen","MaxPipeHeight"
"WSF","","1937","WSF","HOS48AA","H","OS","48000","48000","A","A","0500","0625","52","36","12","200","250","100"
"WSF","","1937","WSF","HOS54AA","H","OS","54000","54000","A","A","0500","0625","60","36","14","250","250","100"
"WSF","","1937","WSF","HOS60AA","H","OS","60000","60000","A","A","0500","0625","60","36","14","250","250","100"
"DAIK","","2043","DAIK","FCQ42AAVJU","H","IC","42000","47000","A","A","0375","0625","12","33","33","58","230","98"
"DAIK","","2043","DAIK","FCQ48AAVJU","H","IC","48000","54000","A","A","0375","0625","12","33","33","58","230","98"
"DAIK","","2043","DAIK","FDMQ09WVJU9","H","ID","9000","9000","A","A","0250","0375","10","28","32","64","65","49"
"DAIK","","2043","DAIK","FDMQ12WVJU9","H","ID","12000","12000","A","A","0250","0375","10","28","32","64","65","49"
"DAIK","","2043","DAIK","FDMQ15WVJU9","H","ID","15000","15000","A","A","0250","0500","10","39","32","77","65","49"
"DAIK","","2043","DAIK","FDMQ18WVJU9","H","ID","18000","18000","A","A","0250","0500","10","39","32","82","98","65"
"DAIK","","2043","DAIK","FDMQ24WVJU9","H","ID","24000","24000","A","A","0250","0625","10","39","32","82","98","65"
"DAIK","","2043","DAIK","FFQ09W2VJU9","H","IC","9100","10000","A","A","0250","0375","10","23","23","36","66","49"
"DAIK","","2043","DAIK","FFQ12W2VJU9","H","IC","10800","13500","A","A","0250","0375","10","23","23","36","66","49"
"DAIK","","2043","DAIK","FFQ15W2VJU9","H","IC","14400","16200","A","A","0250","0500","10","23","23","36","99","66"
"DAIK","","2043","DAIK","FFQ18W2VJU9","H","IC","17400","21600","A","A","0250","0500","10","23","23","36","99","66"
"DAIK","","2043","DAIK","FHQ18PVJU","H","IU","18000","20000","A","A","0375","0625","8","63","27","90","164","98"
"DAIK","","2043","DAIK","FHQ24PVJU","H","IU","24000","27000","A","A","0375","0625","8","63","27","90","164","98"
"DAIK","","2043","DAIK","FHQ30PVJU","H","IU","30000","34000","A","A","0375","0625","8","63","27","90","164","98"
"DAIK","","2043","DAIK","FHQ36MVJU","H","IU","36000","40000","A","A","0375","0625","8","63","27","90","230","98"
"DAIK","","2043","DAIK","FHQ42MVJU","H","IU","40500","47000","A","A","0375","0625","8","63","27","90","230","98"
"DAIK","","2043","DAIK","FTKB09BXVJU","A","IW","8900","0","A","A","0250","0375","11","31","10","20","66","33"
"DAIK","","2043","DAIK","FTKB12BXVJU","A","IW","11000","0","A","A","0250","0375","11","31","10","21","66","33"
"DAIK","","2043","DAIK","FTKB18BXVJU","A","IW","18000","0","A","A","0250","0500","12","40","11","31","99","33"
"DAIK","","2043","DAIK","FTKB24BXVJU","A","IW","21200","0","A","A","0250","0625","12","40","11","31","99","33"
"DAIK","","2043","DAIK","FTQ18TAVJUA","H","IA","18000","20000","A","A","0375","0625","45","18","21","115","164","98"
"DAIK","","2043","DAIK","FTQ18TAVJUD","H","IA","18000","20000","A","A","0375","0625","45","18","21","115","164","98"
"DAIK","","2043","DAIK","FTQ24TAVJUA","H","IA","24000","27000","A","A","0375","0625","45","18","21","115","164","98"
"DAIK","","2043","DAIK","FTQ24TAVJUD","H","IA","24000","27000","A","A","0375","0625","45","18","21","115","164","98"
"DAIK","","2043","DAIK","FTQ30TAVJUA","H","IA","30000","34000","A","A","0375","0625","45","18","21","115","230","98"
"DAIK","","2043","DAIK","FTQ30TAVJUD","H","IA","30000","34000","A","A","0375","0625","45","18","21","115","230","98"
"DAIK","","2043","DAIK","FTQ36TAVJUA","H","IA","36000","40000","A","A","0375","0625","45","18","21","140","230","98"
"DAIK","","2043","DAIK","FTQ36TAVJUD","H","IA","36000","40000","A","A","0375","0625","45","18","21","140","230","98"
